C. Autónoma,Provincia,Tipo de inmueble,Direccion,m2,Habitaciones,Precio
Región de Murcia,Murcia,Piso,Calle Adelfas,118,4,108900
Región de Murcia,Murcia,Piso,Calle Santa Rosa,90,3,92000
Región de Murcia,Murcia,Chalet,Calle Peraleja Vial 11,106,3,598000
Región de Murcia,Murcia,Atico,Calle Gonzalez Adalid,158,3,390000
Región de Murcia,Murcia,Piso,Paseo de Garay,118,2,140000
Región de Murcia,Murcia,Casa Rural,Avenida Santa Catalina,119,3,130000
Región de Murcia,Murcia,Piso,Avenida Miguel Angel Blanco,61,2,149500
Región de Murcia,Murcia,Piso,barrio Vista Alegre,189,3,760000
Región de Murcia,Murcia,Piso,Calle Jose Luis Morga,69,2,136000
Región de Murcia,Murcia,Atico,barrio Catedral,74,4,920400
Región de Murcia,Murcia,Piso,barrio La Fama,165,4,495000
Región de Murcia,Murcia,Atico,barrio Zona Juan de Borbon,98,3,395000
Región de Murcia,Murcia,Chalet,paraje valle del Sol 16,20,4,350000
Región de Murcia,Murcia,Atico,barrio Guadalupe,89,3,285000
Región de Murcia,Murcia,Piso,barrio Santa Eulalia,132,4,228000
Región de Murcia,Murcia,Chalet,barrio Santa Cruz,900,3,233000
Región de Murcia,Murcia,Piso,barrio Catedral,130,4,600000
Región de Murcia,Murcia,Piso,barrio Zona Juan Carlos I,73,2,223000
Región de Murcia,Murcia,Piso,Calle de la Iglesia,88,3,300000
Región de Murcia,Murcia,Piso,barrio San Nicolas,117,3,350000
Región de Murcia,Murcia,Piso,barrio Zona Juan Carlos I,149,3,385000
Región de Murcia,Murcia,Piso,Calle Jorge Juan,131,4,300000
Región de Murcia,Murcia,Atico,barrio Guadalupe,86,3,285000
Región de Murcia,Murcia,Chalet,barrio Santa Cruz,900,3,233000
Región de Murcia,Murcia,Piso,barrio Zona Juan Carlos I,73,2,223000
Región de Murcia,Murcia,Piso,barrio Santa Maria de Gracia,115,4,231000
Región de Murcia,Murcia,Piso,barrio Zona Juan de Borbon,140,3,385000
Región de Murcia,Murcia,Atico,barrio Zona Juan Carlos I,115,3,400000
Región de Murcia,Murcia,Chalet,barrio Sangonera la Seca,80,3,169000
Región de Murcia,Murcia,Piso,barrio Santa Catalina-San Bartolome,152,4,295000
Región de Murcia,Murcia,Piso,barrio San Anton,109,3,199000
Región de Murcia,Murcia,Piso,barrio Espinardo,123,3,215000
Región de Murcia,Murcia,Chalet,barrio El Esparragal,400,7,518000
Región de Murcia,Murcia,Piso,barrio El Carmen,107,3,114000
Región de Murcia,Murcia,Atico,barrio Zona Juan de Borbon,124,4,390000
Región de Murcia,Murcia,Chalet,barrio El Palmar,492,6,750000
Región de Murcia,Murcia,Piso,barrio Santa Eulalia,182,4,295000
Región de Murcia,Murcia,Piso,barrio San Anton,85,2,167000
Región de Murcia,Murcia,Estudio,barrio El Puntal,130,0,198000
Región de Murcia,Murcia,Piso,barrio Santa Catalina-San Bartolome,157,4,378000
Región de Murcia,Murcia,Piso,barrio La Fama,125,3,399000
Región de Murcia,Murcia,Piso,barrio El Puntal,136,3,245000
Región de Murcia,Murcia,Piso,barrio Santa Eulalia,126,4,228000
Región de Murcia,Murcia,Piso,barrio El Carmen,98,2,198000
Región de Murcia,Murcia,Piso,barrio Vista Alegre,109,3,570000
Región de Murcia,Murcia,Piso,Calle Doctor Jose Tapia Sanz 2,141,4,355000
Región de Murcia,Murcia,Chalet,Calle sumatra,229,3,627000
Región de Murcia,Murcia,Piso,Calle Sierra de Penarrubia,114,3,199000
Región de Murcia,Murcia,Atico,barrio Torreaguera,65,2,95000
Región de Murcia,Murcia,Piso,Avenida Juan de Borbon 79,76,2,236000
Región de Murcia,Murcia,Piso,Calle Rocio 2,116,3,90000
Región de Murcia,Murcia,Piso,Calle Sierra de Penarrubia,72,2,159000
Región de Murcia,Murcia,Chalet,Diseminado Pino Doncel 28,1337,5,465000
Región de Murcia,Murcia,Duplex,barrio San Jose de la Vega,93,3,124000
Región de Murcia,Murcia,Piso,barrio San Miguel,127,4,450000
Región de Murcia,Murcia,Piso,San Antonio 1,62,2,75000
Región de Murcia,Murcia,Piso,Calle San Josemaria Escriva s/n,85,3,241400
Región de Murcia,Murcia,Piso,Calle Rio Zumeta,110,3,279000
Región de Murcia,Murcia,Piso,Calle San Josemaria Escriva s/n,89,3,241400
Región de Murcia,Murcia,Piso,Avenida Marina Espanola  s/n,17,3,283266
Región de Murcia,Murcia,Atico,Calle San Josemaria Escriva s/n,121,4,358050
Región de Murcia,Murcia,Piso,Avenida Marina Espanola  s/n,17,3,278063
Región de Murcia,Murcia,Piso,Calle Cronista Carlos Valcarcel,97,3,229900
Región de Murcia,Murcia,Piso,barrio Espinardo,85,3,120000
Región de Murcia,Murcia,Piso,barrio La Alberca,85,3,125000
Región de Murcia,Murcia,Piso,Avenida Juan Carlos I,128,4,199990
Región de Murcia,Murcia,Chalet,Felipe II,90,5,159000
Región de Murcia,Murcia,Casa Rural,Calle Barranquete,130,3,179990
Región de Murcia,Murcia,Piso,Paseo Florencia,23,3,182000
Región de Murcia,Murcia,Piso,barrio Beniajan,62,2,75000
Región de Murcia,Murcia,Piso,barrio San Pedro,63,2,165000
Región de Murcia,Murcia,Piso,Calle Pedro Garcia Villalba,78,2,115000
Región de Murcia,Murcia,Piso,barrio El Puntal,71,2,97000
Región de Murcia,Murcia,Piso,Calle Esperanza,100,3,149990
Región de Murcia,Murcia,Chalet,Calle Abelardo Valero,30,4,114500
Región de Murcia,Murcia,Piso,Avenida Don Juan de Borbon,67,2,179000
Región de Murcia,Murcia,Piso,barrio Los Ramos,196,5,380000
Región de Murcia,Murcia,Piso,Calle Escritor Sanchez Moreno 3,199,5,235000
